date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:51	445/445	---M--	200	added ('OK')	image/png	etag:%22e14e7bcf261179ab260ecbfde282dab5%22	https://cdn.vuetifyjs.com/images/affiliates/tidelift-small.png	C:/My%20Web%20Sites/Vuetify/cdn.vuetifyjs.com/images/affiliates/tidelift-small.png	(from https://vuetifyjs.com/en/)
22:43:52	102207/102207	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:43:53%20GMT	https://vuetifyjs.com/en/getting-started/quick-start	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/getting-started/quick-start.html	(from https://vuetifyjs.com/en/)
22:43:53	97332/97332	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2002:43:54%20GMT	https://vuetifyjs.com/en/getting-started/sponsors-and-backers	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/en/getting-started/sponsors-and-backers.html	(from https://vuetifyjs.com/en/)
22:43:53	480204/480204	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22753cc-16974f608b8%22	https://vuetifyjs.com/dist/img/materialdesignicons-webfont.187554e.eot	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/dist/img/materialdesignicons-webfont.187554e.eot	(from https://vuetifyjs.com/dist/common.e643ecc1fb9596fce3bf.css)
22:43:54	169440/169440	---M--	200	added ('OK')	application/font-woff2	etag:W/%22295e0-16945e76f08%22	https://vuetifyjs.com/dist/img/materialdesignicons-webfont.d1bdfb3.woff2	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/dist/img/materialdesignicons-webfont.d1bdfb3.woff2	(from https://vuetifyjs.com/dist/common.e643ecc1fb9596fce3bf.css)
22:43:54	480204/480204	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22753cc-16974f608b8%22	https://vuetifyjs.com/dist/img/materialdesignicons-webfont.187554e.eot?	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/dist/img/materialdesignicons-webfont.187554ed41d.eot	(from https://vuetifyjs.com/dist/common.e643ecc1fb9596fce3bf.css)
22:43:54	230656/230656	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2238500-16974f608b8%22	https://vuetifyjs.com/dist/img/materialdesignicons-webfont.a5a63c0.woff	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/dist/img/materialdesignicons-webfont.a5a63c0.woff	(from https://vuetifyjs.com/dist/common.e643ecc1fb9596fce3bf.css)
22:43:54	479984/479984	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22752f0-16974f608b8%22	https://vuetifyjs.com/dist/img/materialdesignicons-webfont.af695ae.ttf	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/dist/img/materialdesignicons-webfont.af695ae.ttf	(from https://vuetifyjs.com/dist/common.e643ecc1fb9596fce3bf.css)
22:43:54	3658026/3658026	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2237d12a-16974f608b8%22	https://vuetifyjs.com/dist/img/materialdesignicons-webfont.b65a7ff.svg	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/dist/img/materialdesignicons-webfont.b65a7ff.svg	(from https://vuetifyjs.com/dist/common.e643ecc1fb9596fce3bf.css)
22:43:55	164/164	---MCZ	200	added ('OK')	text/css	etag:W/%22a4-1695f561598%22	https://vuetifyjs.com/dist/common.81752aa354269a842f03.css	C:/My%20Web%20Sites/Vuetify/vuetifyjs.com/dist/common.81752aa354269a842f03.css	(from https://vuetifyjs.com/en/getting-started/quick-start)
